state,votes,population
Alabama,9,4858979
Alaska,3,738432
Arizona,11,6828065
Arkansas,6,2978204
California,55,39144818
Colorado,9,5456574
Connecticut,7,3590886
Delaware,3,945934
Florida,29,20271272
Georgia,16,10214860
Hawaii,4,1431603
Idaho,4,1654930
Illinois,20,12859995
Indiana,11,6619680
Iowa,6,3123899
Kansas,6,2911641
Kentucky,8,4425092
Louisiana,8,4670724
Maine,4,1329328
Maryland,10,6006401
Massachusetts,11,6794422
Michigan,16,9922576
Minnesota,10,5489594
Mississippi,6,2992333
Missouri,10,6083672
Montana,3,1032949
Nebraska,5,1896190
Nevada,6,2890845
New Hampshire,4,1330608
New Jersey,14,8958013
New Mexico,5,2085109
New York,29,19795791
North Carolina,15,10042802
North Dakota,3,756927
Ohio,18,11613423
Oklahoma,7,3911338
Oregon,7,4028977
Pennsylvania,20,12802503
Rhode Island,4,1056298
South Carolina,9,4896146
South Dakota,3,858469
Tennessee,11,6600299
Texas,38,27469114
Utah,6,2995919
Vermont,3,626042
Virginia,13,8382993
Washington,12,7170351
 District of Columbia,3,672228
West Virginia,5,1844128
Wisconsin,10,5771337
Wyoming,3,586107
